State,Year,Degree,Count
Arkansas,1988,Undergraduate,6
Arkansas,1988,Professional,0
Arkansas,1988,Graduate,4
Arkansas,1987,Undergraduate,5
Arkansas,1987,Professional,1
Arkansas,1987,Graduate,10
Arkansas,1986,Undergraduate,5
Arkansas,1986,Professional,1
Arkansas,1986,Graduate,6
Arkansas,1985,Undergraduate,4
Arkansas,1985,Professional,0
Arkansas,1985,Graduate,11
Arkansas,1984,Undergraduate,4
Arkansas,1984,Professional,0
Arkansas,1984,Graduate,11
Arkansas,1983,Undergraduate,6
Arkansas,1983,Professional,0
Arkansas,1983,Graduate,8
Arkansas,1982,Undergraduate,7
Arkansas,1982,Professional,0
Arkansas,1982,Graduate,5
Arkansas,1981,Undergraduate,3
Arkansas,1981,Professional,0
Arkansas,1981,Graduate,4
Arkansas,1980,Undergraduate,5
Arkansas,1980,Professional,0
Arkansas,1980,Graduate,4
Arkansas,1979,Undergraduate,8
Arkansas,1979,Professional,0
Arkansas,1979,Graduate,5
Arkansas,1978,Undergraduate,6
Arkansas,1978,Professional,0
Arkansas,1978,Graduate,5
Arkansas,1977,Undergraduate,6
Arkansas,1977,Professional,0
Arkansas,1977,Graduate,11
Arkansas,1976,Undergraduate,4
Arkansas,1976,Professional,0
Arkansas,1976,Graduate,9
Arkansas,1975,Undergraduate,5
Arkansas,1975,Professional,1
Arkansas,1975,Graduate,5
California,2017,Undergraduate,1011
California,2017,Professional,425
California,2017,Graduate,43
California,2016,Undergraduate,937
California,2016,Professional,226
California,2016,Graduate,42
California,2015,Undergraduate,828
California,2015,Professional,232
California,2015,Graduate,38
California,2014,Undergraduate,643
California,2014,Professional,204
California,2014,Graduate,37
California,2013,Undergraduate,490
California,2013,Professional,169
California,2013,Graduate,33
California,2012,Undergraduate,366
California,2012,Professional,172
California,2012,Graduate,40
California,2011,Undergraduate,262
California,2011,Professional,161
California,2011,Graduate,43
California,2010,Undergraduate,187
California,2010,Professional,161
California,2010,Graduate,48
California,2009,Undergraduate,187
California,2009,Professional,161
California,2009,Graduate,48
California,2008,Undergraduate,145
California,2008,Professional,136
California,2008,Graduate,25
California,2007,Undergraduate,152
California,2007,Professional,121
California,2007,Graduate,22
California,2006,Undergraduate,158
California,2006,Professional,122
California,2006,Graduate,21
California,2005,Undergraduate,159
California,2005,Professional,112
California,2005,Graduate,27
California,2004,Undergraduate,179
California,2004,Professional,83
California,2004,Graduate,32
California,2003,Undergraduate,176
California,2003,Professional,251
California,2003,Graduate,35
California,2002,Undergraduate,155
California,2002,Professional,221
California,2002,Graduate,34
California,2001,Undergraduate,146
California,2001,Professional,223
California,2001,Graduate,28
California,2000,Undergraduate,121
California,2000,Professional,233
California,2000,Graduate,28
California,1999,Undergraduate,102
California,1999,Professional,215
California,1999,Graduate,28
California,1998,Undergraduate,108
California,1998,Professional,211
California,1998,Graduate,26
California,1997,Undergraduate,113
California,1997,Professional,27
California,1997,Graduate,206
California,1996,Undergraduate,116
California,1996,Professional,28
California,1996,Graduate,168
California,1995,Undergraduate,102
California,1995,Professional,14
California,1995,Graduate,133
California,1994,Undergraduate,82
California,1994,Professional,14
California,1994,Graduate,108
California,1993,Undergraduate,89
California,1993,Professional,14
California,1993,Graduate,114
California,1992,Undergraduate,69
California,1992,Professional,16
California,1992,Graduate,106
California,1991,Undergraduate,66
California,1991,Professional,4
California,1991,Graduate,101
California,1990,Undergraduate,81
California,1990,Professional,4
California,1990,Graduate,79
California,1989,Undergraduate,63
California,1989,Professional,6
California,1989,Graduate,77
California,1988,Undergraduate,79
California,1988,Professional,3
California,1988,Graduate,84
California,1987,Undergraduate,65
California,1987,Professional,1
California,1987,Graduate,112
California,1986,Undergraduate,60
California,1986,Professional,0
California,1986,Graduate,100
California,1985,Undergraduate,62
California,1985,Professional,0
California,1985,Graduate,115
California,1984,Undergraduate,64
California,1984,Professional,0
California,1984,Graduate,107
California,1983,Undergraduate,41
California,1983,Professional,1
California,1983,Graduate,113
California,1982,Undergraduate,50
California,1982,Professional,1
California,1982,Graduate,90
California,1981,Undergraduate,39
California,1981,Professional,1
California,1981,Graduate,81
California,1980,Undergraduate,2
California,1980,Professional,0
California,1980,Graduate,101
California,1979,Undergraduate,12
California,1979,Professional,1
California,1979,Graduate,79
California,1978,Undergraduate,16
California,1978,Professional,2
California,1978,Graduate,87
California,1977,Undergraduate,14
California,1977,Professional,0
California,1977,Graduate,104
California,1976,Undergraduate,18
California,1976,Professional,2
California,1976,Graduate,89
California,1975,Undergraduate,18
California,1975,Professional,2
California,1975,Graduate,97
